版本,严重程度,问题标题,漏洞描述,解决方案,Git Commit/PR
2026.4.11,中危,Teams/security Bot Framework受众令牌重放,共享的Bot Framework受众令牌未要求通过验证的appid或azp命名配置的Teams应用全局受众上的跨机器人令牌重放未被阻止,"要求共享的Bot Framework受众令牌通过验证的appid或azp命名配置的Teams应用;阻止全局受众上的跨机器人令牌重放",#70724
2026.4.11,中危,Anthropic/CLI security权限模式派生,Claude CLI bypassPermissions未从OpenClaw的现有YOLO执行策略派生显式原始Claude --permission-mode覆盖未保留格式错误的权限模式参数静默回退到绕过,"从OpenClaw的现有YOLO执行策略派生Claude CLI bypassPermissions;保留显式原始Claude --permission-mode覆盖;剥离格式错误的权限模式参数而不是静默回退到绕过",#70723
2026.4.11,中危,Android/security明文网关连接,Android手动和扫描路由接受非回环明文网关连接私有LAN和链本地ws://端点在启用TLS前未失败关闭,"Android手动和扫描路由要求仅回环明文网关连接;私有LAN和链本地ws://端点现在失败关闭除非启用TLS",#70722
2026.4.11,中危,Pairing/security明文移动配对端点,明文移动配对接受私有IP或回环以外的主机.local或无点主机名被视为安全明文端点,"明文移动配对要求私有IP或回环主机;.local或无点主机名不再被视为安全明文端点",#70721
2026.4.11,中危,Plugins/security设置API查询回退,设置API查询回退到启动目录工作区本地extensions/<plugin>/setup-api.*文件可在提供者设置解析期间执行,"停止设置API查询回退到启动目录;工作区本地extensions/<plugin>/setup-api.*文件不能在提供者设置解析期间执行",#70718
2026.4.11,中危,Approvals/security聊天执行审批自动启用,仅因为审批者从配置或所有者白名单解析审批客户端就自动启用未要求显式聊天执行审批启用,"要求显式聊天执行审批启用;不自动启用审批客户端仅因为审批者从配置或所有者白名单解析",#70715
2026.4.11,中危,Discord/security本地斜杠命令通道策略,本地斜杠命令通道策略绕过配置的所有者或成员限制在不存在更严格的访问规则时错误地回退到通道策略,"保持本地斜杠命令通道策略不绕过配置的所有者或成员限制;在不存在更严格的访问规则时保留通道策略回退",#70711
2026.4.11,中危,Android/security ASK_OPENCLAW意图自动发送,ASK_OPENCLAW意图自动发送注入的提示外部应用动作直接派发而不是预填草稿,"停止ASK_OPENCLAW意图自动发送注入的提示;外部应用动作仅预填草稿而不是派发它",#70714
2026.4.11,中危,Agents/image generation工具警告注入,工具警告中忽略的覆盖值未转义解析的MEDIA:指令可通过不支持的模型选项注入,"在工具警告中转义忽略的覆盖值;解析的MEDIA:指令不能通过不支持的模型选项注入",#70710
2026.4.11,中危,QQBot/security Bot审批未授权访问,/bot-approve未要求框架认证未授权的QQ发送者可通过未认证的预派发斜杠命令路径更改执行审批设置,"要求框架认证用于/bot-approve;未授权的QQ发送者不能通过未认证的预派发斜杠命令路径更改执行审批设置",#70706
2026.4.11,中危,WhatsApp/security结构化对象注入,WhatsApp联系人/vCard/位置结构化对象自由文本进入内联消息体名称、电话字段和位置标签/注释中存在隐藏提示注入载荷,"将联系人/vCard/位置结构化对象自由文本保留在内联消息体之外;通过围栏的不受信任元数据JSON渲染",N/A
2026.4.11,中危,Group-chat/security组名和参与者标签注入,通道来源的组名和参与者标签进入内联组系统提示未作为围栏的不受信任元数据JSON渲染,"将通道来源的组名和参与者标签保留在内联组系统提示之外;通过围栏的不受信任元数据JSON渲染",N/A
2026.4.11,中危,Gateway/security配置写入失败关闭,代理驱动的gateway config.apply/config.patch运行时编辑失败开启依赖手工维护的拒绝列表可能错过新的敏感配置键,"代理驱动的gateway config.apply/config.patch运行时编辑失败关闭;白名单窄组代理可调的提示、模型和提及门控路径",#70726
2026.4.11,中危,Webhooks/security SecretRef秘密重新解析,SecretRef支持的webhook路由秘密未在每个请求上重新解析openclaw secrets reload不能立即撤销之前的秘密,"在每个请求上重新解析SecretRef支持的webhook路由秘密;openclaw secrets reload立即撤销之前的秘密",#70727
2026.4.11,中危,Security/dotenv端点设置覆盖,工作区.env覆盖未阻止Matrix、Mattermost、IRC和Synology端点设置克隆的工作区可通过本地端点配置重定向捆绑连接器流量,"阻止工作区.env覆盖用于Matrix、Mattermost、IRC和Synology端点设置;克隆的工作区不能通过本地端点配置重定向捆绑连接器流量",#70240
2026.4.11,中危,Telegram/model picker未授权访问,组模型选择器回调未要求相同的/models授权未授权参与者可浏览或更改会话模型,"组模型选择器回调要求相同的/models授权;未授权参与者不能浏览或更改会话模型",#70235
2026.4.11,中危,Gateway/Control UI未认证配置读取,启用gateway.auth时/__openclaw/control-ui-config.json未要求认证Control UI读取访问未认证调用者可读取引导元数据,"启用gateway.auth时要求认证Control UI读取访问用于/__openclaw/control-ui-config.json;未认证调用者不能读取引导元数据",#70247
2026.4.11,中危,Security/external content特殊令牌清理,"常见的自托管LLM聊天模板特殊令牌字面量（包括Qwen/ChatML、Llama、Gemma、Mistral、Phi和GPT-OSS标记器）未从包装的外部内容和元数据中剥离存在令牌化器层角色边界欺骗","从包装的外部内容和元数据中剥离常见自托管LLM聊天模板特殊令牌字面量;包括Qwen/ChatML、Llama、Gemma、Mistral、Phi和GPT-OSS标记器",N/A
2026.4.11,中危,Auth/commands所有者身份要求,所有者强制命令未要求所有者身份通配符通道allowFrom或空所有者候选列表被视为充分,"仅所有者命令要求所有者身份（所有者候选匹配或内部operator.admin）;不将通配符通道allowFrom或空所有者候选列表视为充分",#69774
2026.4.11,中危,Synology Chat SSRF via webhook,出站webhook file_url值未针对共享SSRF策略验证NAS可作为困惑代理获取内部地址,"在转发到NAS前验证出站webhook file_url值针对共享SSRF策略;拒绝格式错误的URL、非http(s)方案和私有/阻塞网络目标",#69784
2026.4.11,中危,Gateway/Control UI avatar未认证访问,Control UI avatar路由在配置认证时未要求网关认证与同级助手媒体路由不匹配,"配置认证时要求网关认证用于Control UI avatar路由;与同级助手媒体路由匹配",#69775
2026.4.11,中危,Google Chat/auth gaxios SSRF保护,Google认证gaxios垫片未使用作用域SSRF保护的传输服务账户认证端点未针对可信Google URL验证,"用作用域SSRF保护的传输替换Google认证gaxios垫片;针对可信Google URL验证服务账户认证端点",#69812
2026.4.11,中危,Gateway/MCP loopback所有者工具可见性,所有者专用工具可见性从调用者控制的所有者头派生而非区分认证的所有者与非所有者回环承载者非所有者MCP子进程可通过欺骗请求元数据恢复所有者访问,"从区分认证的所有者与非所有者回环承载者派生仅所有者工具可见性;不从调用者控制的所有者头派生",#69796
